"Date"	2019-12-25 01:43:09 GMT+05:30
"Average Count [samples]"	400
"Average Function"	Quadratic Mean
"Digitiser Firmware Version"	01.02-00/00
"Digitiser Hardware Version"	04_01/01
"Digitiser Name"	FGM3D TD
"Digitiser Serial Number"	000068
"Profile Settings"	Name: FGM3D/100 (Unit: T), Transformer: [UnitConverter[Factor: 1E-05, Units: V => T]], Unit: T
"Recording Software Copyright"	Copyright ©  SENSYS 2012 - 2014
"Recording Software Name"	SENSYS FGM3D TD Application
"Recording Software Vendor"	SENSYS GmbH
"Recording Software Version"	01.00-01/00
"Samplerate [Hz]"	400

"Timestamp [ms]"	"X-Axis [T]"	"Y-Axis [T]"	"Z-Axis [T]"	"Absolute Value [T]"
1577238326567	4,09537633E-5	1,48765803E-6	4,76877255E-6	4,12573029E-5
1577238327567	4,09537508E-5	1,48766537E-6	4,76876066E-6	4,12572894E-5
1577238328567	4,09537656E-5	1,48769267E-6	4,76876054E-6	4,12573051E-5
1577238329568	4,09537245E-5	1,48768966E-6	4,76877015E-6	4,12572653E-5
1577238330568	4,09537295E-5	1,48767801E-6	4,76872612E-6	4,12572648E-5
1577238331568	4,09537019E-5	1,48768987E-6	4,76872594E-6	4,12572377E-5
1577238332568	4,09537046E-5	1,48769268E-6	4,76869525E-6	4,12572370E-5
1577238333568	4,09537548E-5	1,48765244E-6	4,76872387E-6	4,12572887E-5
1577238334565	4,09537187E-5	1,48763587E-6	4,76870735E-6	4,12572504E-5
1577238335565	4,09537318E-5	1,48765410E-6	4,76868920E-6	4,12572619E-5
1577238336567	4,09537146E-5	1,48765132E-6	4,76873064E-6	4,12572495E-5
1577238337565	4,09537391E-5	1,48764279E-6	4,76872962E-6	4,12572734E-5
1577238338567	4,09536887E-5	1,48764437E-6	4,76874289E-6	4,12572250E-5
1577238339571	4,09537127E-5	1,48762201E-6	4,76876416E-6	4,12572505E-5
1577238340571	4,09537034E-5	1,48764306E-6	4,76875545E-6	4,12572410E-5
1577238341572	4,09537301E-5	1,48764268E-6	4,76873030E-6	4,12572645E-5
1577238342571	4,09537298E-5	1,48765966E-6	4,76880726E-6	4,12572737E-5
1577238343571	4,09537097E-5	1,48767812E-6	4,76877492E-6	4,12572507E-5
1577238344565	4,09537195E-5	1,48766466E-6	4,76876860E-6	4,12572593E-5
1577238345565	4,09537368E-5	1,48767062E-6	4,76876867E-6	4,12572767E-5
1577238346565	4,09537427E-5	1,48765669E-6	4,76876224E-6	4,12572813E-5
1577238347566	4,09537312E-5	1,48767332E-6	4,76875152E-6	4,12572692E-5
1577238348565	4,09537014E-5	1,48765987E-6	4,76879378E-6	4,12572440E-5
1577238349565	4,09537348E-5	1,48766407E-6	4,76880400E-6	4,12572785E-5
1577238350571	4,09537385E-5	1,48770066E-6	4,76878818E-6	4,12572817E-5
1577238351571	4,09537421E-5	1,48768437E-6	4,76878412E-6	4,12572842E-5
1577238352571	4,09537155E-5	1,48770269E-6	4,76879059E-6	4,12572592E-5
1577238353565	4,09537165E-5	1,48771519E-6	4,76879545E-6	4,12572612E-5
1577238354566	4,09537136E-5	1,48770628E-6	4,76881920E-6	4,12572607E-5
1577238355566	4,09536964E-5	1,48766136E-6	4,76880777E-6	4,12572408E-5
1577238356566	4,09537085E-5	1,48769829E-6	4,76882211E-6	4,12572557E-5
1577238357566	4,09536880E-5	1,48768877E-6	4,76883199E-6	4,12572362E-5
1577238358566	4,09536888E-5	1,48763984E-6	4,76884324E-6	4,12572366E-5
1577238359567	4,09536994E-5	1,48761174E-6	4,76878303E-6	4,12572390E-5
1577238360567	4,09537009E-5	1,48763487E-6	4,76878792E-6	4,12572419E-5
1577238361568	4,09536975E-5	1,48762761E-6	4,76883366E-6	4,12572436E-5
1577238362568	4,09536873E-5	1,48763322E-6	4,76881379E-6	4,12572314E-5
1577238363568	4,09536732E-5	1,48760825E-6	4,76882671E-6	4,12572180E-5
1577238364568	4,09536826E-5	1,48759871E-6	4,76886611E-6	4,12572315E-5
1577238365569	4,09536915E-5	1,48760491E-6	4,76884778E-6	4,12572384E-5
1577238366569	4,09536541E-5	1,48761512E-6	4,76883261E-6	4,12571999E-5
1577238367571	4,09536824E-5	1,48759370E-6	4,76883678E-6	4,12572278E-5
1577238368566	4,09536911E-5	1,48769236E-6	4,76886922E-6	4,12572437E-5
1577238369567	4,09537006E-5	1,48767790E-6	4,76887326E-6	4,12572531E-5
1577238370567	4,09536945E-5	1,48767614E-6	4,76886216E-6	4,12572456E-5
1577238371579	4,09536666E-5	1,48769638E-6	4,76886836E-6	4,12572194E-5
1577238372571	4,09536757E-5	1,48766120E-6	4,76886861E-6	4,12572272E-5
1577238373572	4,09536654E-5	1,48766264E-6	4,76886127E-6	4,12572162E-5
1577238374572	4,09536719E-5	1,48764645E-6	4,76883170E-6	4,12572187E-5
1577238375573	4,09536579E-5	1,48762443E-6	4,76888228E-6	4,12572098E-5
1577238376574	4,09536780E-5	1,48760349E-6	4,76883880E-6	4,12572240E-5
1577238377574	4,09536602E-5	1,48765118E-6	4,76881021E-6	4,12572047E-5
1577238378574	4,09537001E-5	1,48765232E-6	4,76881612E-6	4,12572450E-5
1577238379573	4,09536969E-5	1,48768267E-6	4,76876578E-6	4,12572371E-5
1577238380565	4,09536615E-5	1,48768646E-6	4,76877005E-6	4,12572026E-5
1577238381566	4,09536308E-5	1,48767016E-6	4,76876291E-6	4,12571707E-5
1577238382565	4,09536628E-5	1,48767400E-6	4,76878504E-6	4,12572052E-5
1577238383565	4,09536727E-5	1,48761164E-6	4,76876720E-6	4,12572107E-5
1577238384565	4,09536661E-5	1,48764057E-6	4,76877067E-6	4,12572056E-5
1577238385565	4,09536957E-5	1,48760556E-6	4,76879718E-6	4,12572368E-5
1577238386565	4,09536477E-5	1,48765645E-6	4,76877242E-6	4,12571881E-5
